"WHSE","YEAR","MONTH","WEEK","DATE","DEPT_WORKED","CORE_PROCESS","SKU_CLASS","STD_TIME","ACTUAL_TIME","INDIRECT_TIME","ONSTD_TIME","WEIGHT","CUBE","CARTONS","PALLET","LINES","TRAILER_CHURN","EFF","WEIGHT_PH","CUBE_PH","CARTONS_PH","PALLET_PH","LINES_PH","TRAILER_PH","CUBE_PER_LINE","CUBE_PER_TRAILER"
5,22,5,20,2022-05-15,"INBOUND","RECEIVING","DOMESTIC",109.73,148.07,0,128.55,91306.68,12868.68,10469,2113.75,383,3,85.36,616.65,86.91,70.7,14.28,2.59,0.02,33.6,4289.56
5,22,5,20,2022-05-16,"INBOUND","RECEIVING","OFFSHORE",149.76,254.4,18.13,220.38,208918.34,19413.6,24851.64,14128.17,6901.17,8,67.96,821.22,76.31,97.69,55.54,27.13,0.03,2.81,2426.7
5,22,5,20,2022-05-16,"INBOUND","RECEIVING","DOMESTIC",103.41,121.37,6.37,108,113578.27,14774.78,12168.96,4653.83,509.5,6,95.75,935.8,121.73,100.26,38.34,4.2,0.05,29,2462.46
5,22,5,20,2022-05-17,"INBOUND","RECEIVING","OFFSHORE",168.62,238.28,17.35,204.68,271009.98,23334.93,29499.11,11434.27,3883.93,5,82.38,1137.36,97.93,123.8,47.99,16.3,0.02,6.01,4666.99
5,22,5,20,2022-05-17,"INBOUND","RECEIVING","DOMESTIC",78.7,110.1,6.47,95.48,166135.21,14527.01,12439,3315.67,557.33,6,82.43,1508.95,131.94,112.98,30.12,5.06,0.05,26.07,2421.17
5,22,5,20,2022-05-18,"INBOUND","RECEIVING","OFFSHORE",142.91,249.67,25.58,218.03,269451.27,23994.84,26561.62,15839,8089,18,65.55,1079.23,96.11,106.39,63.44,32.4,0.07,2.97,1333.05
5,22,5,20,2022-05-18,"INBOUND","RECEIVING","DOMESTIC",86.85,95.8,6.52,82.9,117783.65,9732.61,8309,3016,437.5,5,104.76,1229.47,101.59,86.73,31.48,4.57,0.05,22.25,1946.52
5,22,5,20,2022-05-19,"INBOUND","RECEIVING","OFFSHORE",168.57,229.37,15.18,200.38,297281.24,25260.94,29783.89,16667,7211.5,8,84.13,1296.08,110.13,129.85,72.66,31.44,0.03,3.5,3157.62
5,22,5,20,2022-05-19,"INBOUND","RECEIVING","DOMESTIC",64.62,77.93,2.6,66.4,149654.11,8850.01,9005,2136,399,3,97.32,1920.37,113.56,115.55,27.41,5.12,0.04,22.18,2950
5,22,5,21,2022-05-20,"INBOUND","RECEIVING","OFFSHORE",192.34,304.85,10.87,261.77,350547.17,31657.2,41565.11,21597,9883,20,73.48,1149.9,103.85,136.35,70.84,32.42,0.07,3.2,1582.86
5,22,5,21,2022-05-20,"INBOUND","RECEIVING","DOMESTIC",74.13,91.82,0.98,79.92,133900.41,9893.8,9696.75,3138,728,12,92.76,1458.29,107.75,105.61,34.18,7.93,0.13,13.59,824.48
5,22,5,21,2022-05-21,"INBOUND","RECEIVING","OFFSHORE",192.38,286.57,29.45,249.57,336879.12,27329.57,33816.67,18576,8684,19,77.08,1175.56,95.37,118,64.82,30.3,0.07,3.15,1438.4
5,22,5,21,2022-05-21,"INBOUND","RECEIVING","DOMESTIC",45.85,61.28,0.05,52.52,85433.29,11895.71,7249,1653,307,7,87.3,1394.15,194.12,118.29,26.97,5.01,0.11,38.75,1699.39
5,22,5,21,2022-05-22,"INBOUND","RECEIVING","OFFSHORE",215.08,312.47,18.67,270.58,346946.66,29027.85,40083.15,29308.5,17233.5,8,79.49,1110.34,92.9,128.28,93.8,55.15,0.03,1.68,3628.48
5,22,5,21,2022-05-22,"INBOUND","RECEIVING","DOMESTIC",70.99,74.15,2.25,64.05,70705.7,6954.53,7159,1198.5,270.5,5,110.84,953.55,93.79,96.55,16.16,3.65,0.07,25.71,1390.91
5,22,5,21,2022-05-23,"INBOUND","RECEIVING","OFFSHORE",181.01,279.68,14.22,242.1,306087.18,25120.01,34545.95,20596.67,11905,5,74.77,1094.42,89.82,123.52,73.64,42.57,0.02,2.11,5024
